05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv,"neutral
"
Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://t.co/Qj9I4eCvXy,"positive
"
Michael Jackson: Bad 25th Anniversary Edition (Picture Vinyl): This unique picture disc vinyl includes the original 1 http://t.co/fKXhToAAuW,"neutral
"
18th anniv of Princess Diana's death. I still want to believe she is living on a private island away from the public. With Michael Jackson.,"positive
"
"@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!","positive
"
Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?,"positive
"
The Weeknd is the closest thing we may get to Michael Jackson for a long time...especially since he damn near mimics everything,"neutral
"
"All of you people who're saying The Weekend is the next Michael Jackson, Go to sleep, you got school tomorrow.","neutral
"
@MariahCarey may he R.I.P. Happy Birthday Michael Jackson . :),"positive
"
I just may be actually done with this award show.. Unless they get Michael Jackson on hologram.,"neutral
"
@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!,"negative
"
VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV,"positive
"
@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday,"neutral
"
"Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit","positive
"
ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION,"positive
"
#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame #tunein 5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb,"neutral
"
Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson),"positive
"
"Today is the 28th Anniversary of Michael Jackson releasing the ""Bad"" album, what's your favorite song from it?","positive
"
The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness,"positive
"
"@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun.","positive
"
@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...,"neutral
"
@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...,"neutral
"
Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace. https://t.co/bKrxnEou0l,"neutral
"
#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW,"positive
"
I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night. Life is awesome.,"positive
"
"mom: ""I say 23 because your birthday is on the 23rd"" me: no you say it because mj mom: michael jackson? me: did he play ball too? mom: oh.","neutral
"
"Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy","positive
"
"@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson. C""mon, spill the beans","positive
"
I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean,"negative
"
"@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar.","positive
"
"#TodayInMusicHistory Michael Jackson earned his 12th and last solo #1 during his lifetime with the song ""You Are... http://t.co/Nlw0yhsCSk","positive
"
Last Saturday would have been his 58th birthday. Mussic from Michael Jackson coming up in just a few minutes.....,"positive
"
"Let us dream of tomorrow where we can truly love from thsoul,&amp; know love as the ultimate truth at the heart of all creation Michael Jackson","positive
"
It is too hot. I was waking around campus w my big black umbrella just 2 shade myself from the sun. I think I'm Michael Jackson or something,"neutral
"
I JUST CAN'T STOP LOVING YOU by MICHAEL JACKSON AND SIEDAH GARRETT was no.3 in the UK charts on 2 September 1987,"positive
"
s/o to 7th grade year when being michael jackson still lost to a bumblebee during the halloween costume contest http://t.co/bS2QbzrPjG,"positive
"
"Jay Z apparently joined Instagram on Saturday and posted a photo montage of himself with Michael Jackson, who would have been 57 years old.","positive
"
"Remembering Michael Jackson Thursday, September 3rd Starting at 22:00 Party like a king in memory of the King of... http://t.co/yyhSrlNhxt","positive
"
Mojo just did a mini-mix of classic Michael Jackson that just made my Thursday better.,"positive
"
"""83 Minutes"", major new book on the amazing life &amp; tragic death of Michael Jackson released on Sept 10. @MJJCommunity @MJJLegion @mjsunifc","neutral
"
#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,"neutral
"
"On this day (September 03, 2009), Michael Jackson was buried at his final resting place - The... http://t.co/CgYtsWrr7z","neutral
"
#Unbreakable will mark the 1st time Janet Jackson has opened up about her brother Michael Jackson http://t.co/id0GdjDg4p,"positive
"
"Fandom Infiltration - As you may or may not know, I accompanied my mawm to the Michael Jackson One Cirque... http://t.co/l1XAIbpI7i","positive
"
@candycaneliam @MidnightMiseryx @fandombeliefs and may i remind you that 4/5D look up to Michael Jackson lol,"positive
"
"Michael Jackson, a place with no name. Rare USA sold out: $129.99End Date: Thursday Sep-10-201... http://t.co/aOAwUrXS02 #michaeljackson","positive
"
"Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi","neutral
"
@MissSonalChadha Take a look at @RajivMessage's Tweet: https://t.co/Xl0moCLGjZ Hindus should not use RIP. U can use it for Michael Jackson,"negative
"
Your #Saturday #Satisfaction with Michael Jackson - You are not alone (radio edit) http://t.co/CvHFOMO1tN #zaterdag #samedi,"positive
"
"Its #FreddieMercury's 69th Birthday! Many of you may have seen this, here's a rare pic of him with Michael Jackson! http://t.co/RY5GliAqjq","positive
"
so everyone was so happy bc michael jackson came and he sat down and started singing so we all gathered around and listened,"positive
"
"Portland, make sure and catch @mattwertz this Wednesday at 8 at Alberta Rose Theater. I'm hoping for at least 4 Michael Jackson covers.","positive
"
I'm trying to decide what I want my son to be 4 Halloween 1.Donald Trump 2.Barack Obama or 3rd Michael Jackson he could pull off all three,"positive
"
@CarbieWarbie TY4 follow. Happy Sunday! ET the Extraterrestrial (Storybook) as told by Michael Jackson (Movie Edit) https://t.co/Kfa3Y3yFUX,"positive
"
The sound of Sunday with Michael Jackson - Blood On The Dancefloor http://t.co/CvHFOMO1tN #webradio #internetradio,"neutral
"
OFF THE WALL by MICHAEL JACKSON was no.12 in the UK album charts on 6 September 1980,"neutral
"
"will be resuming his ""Artist of the Week"" selections on Tuesday. His featured artist at that time will be Michael Jackson.","positive
"
Sunday brunch with a Bloody Mary is the best! Michael Jackson is on the radio too! #drinklocal #dolocal #music http://t.co/S7dFzns799,"positive
"
I get my 1st slumber party with Helen Byers Moore since our back in the day moments with our Michael Jackson... http://t.co/nkmXUYxheD,"positive
"
"On 6 September 2001, Michael Jackson made a surprise appearance at the mtv vma where she danced with * Nsync. http://t.co/EwlitvXQML","positive
"
They're showing the Motown 25th on PBS. Michael Jackson at the height of his fame. Mind blowing moves. #MoonwalkDebut,"positive
"
3rd: The Weeknd sounds just like Michael Jackson,"neutral
"
"#LQLDailyQuestion Which actress died aged 62 on the same day as Michael Jackson, June 25th 2009?","neutral
"
@MirandaCosgrove @CaylenWeather michael jackson or harry styles? the world may never know,"neutral
"
Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) https://t.co/WwQ1KQnRDz via @YouTube,"neutral
"
@jermjackson5 omg your in London on September 12th I'm going to London for the Michael Jackson kingvention that day!!!!,"positive
"
"Rock Calendar 9-7-01: Performing on stage for first time in 11 years, Michael Jackson is reunited with Jackson 5 at The 30th Anniv. Celeb.","positive
"
when i was in 4th grade my sister convinced me that michael jackson was the guy in the barney suit all those years,"positive
"
@8dreamerMJJ thank god i was so nervous i didn't how Michael Jackson hardcore fans may feel about @chrisbrown taking on such a big project,"positive
"
"I spent all weekend in the sun, and I'm still paler than the ghost of Michael Jackson. #whitepeopleproblems","neutral
"
"Yg puts Ikon as 2nd bigbang, and BI as GD = the next michael jackson is justin bieber. @ygent_official are you patrick star?","neutral
"
@JusReign my favourite Michael Jackson is the one with the tingalingalingalingashingshongbhungbhaaanng tap tap moonwalk on the sun,"positive
"
"Not sure what it was like seeing michael jackson outdoors, but its gotta be similar to future's set on sunday","neutral
"
Eve has 2 different styles; Jared Leto or Michael Jackson... What will it be tomorrow ? Stay tuned to find out,"neutral
"
For ICC i cud jst sing along the 1st time i heard it But Dumb Dumb I jst remember alotta highnotes Dumb x6 and sumthing michael jackson,"neutral
"
"R8 has FINALLY dropped, Kanye is in his second term of presidency, Michael Jackson moonwalked on the sun, fuckboys gained some respect for w","negative
"
"Michael Jackson, if he only believed his own words, he may not of transformed himself into the ghoul http://t.co/UaVtsk7VMg","negative
"
Monarchy expert D. Michael Jackson will chat about Queen Elizabeth's long reign on @NewsTalk770 tomorrow at 12:30pm.,"positive
"
If Barack or Michelle Obama walk the runway during Style tonight or tomorrow life will be complete. That is all.,"positive
"
"Michelle Obama seems to have really enjoyed her theater going this weekend. She saw Kinky Boots on Saturday, and The King and I on Sunday.","positive
"
"Michelle Obama set the bar exceptionally high 4 @FLOTUS What kind of 1st lady would @TonetteWalker be WI wouldn't know, we've never met her","positive
"
My mom heard someone say Michelle Obama on TV and she started singing 5th Harmony... Help,"positive
"
Don't yall see what they doin they distracting us with today's kids will ever know because on July 14 Barack and Michelle obama got together,"negative
"
"See Tika Sumpter as Michelle Obama in 'Southside with You' photo: Annie MartinLOS ANGELES, July 15 (UP... http://t.co/Tspa5x2n6e #TSCEnt","neutral
"
A: I'd gladly have somebody else pay you next Tuesday for a vegan burger today Q: What would Michelle Obama say if she were Wimpy @fredwimpy,"neutral
"
SMH Mayor in Washington St. Makes Racist Remarks about PBO &amp; 1st Lady Michelle Obama; Refuses to Resign http://t.co/sRmwlqiBYb via @dailykos,"neutral
"
Michelle Obama: US 1st Lady teams up with Wale to promote higher education http://t.co/QDY3iC5TjF,"positive
"
Harvard educated First Lady Michelle Obama reminded attendees of a naturalization ceremony Wednesday that the... http://t.co/LeG5gtWs1C,"neutral
"
The best way to find Malaysia Airlines Flight MH370 may be with Michelle Obama's arms.,"negative
"
dear everyone it was funny the 1st time you called me Michelle Obama 9179027th time not so much,"neutral
"
I frick frackin love shows with Madison so much tomorrow is going to be so fun wowowowowoowowowwowowowoow I'm not ready Michelle Obama,"positive
"
Many may not know that Michelle Obama graduated from Harvard. What did she learn there? She had to surrender her law license for LYING.,"negative
"
First lady Michelle Obama gave a passionate keynote address at the first White House Tribal Youth Gathering in Washington on Thursday.,"neutral
"
"E! News Terrence Jenkins w/moderate keynote with First Lady Michelle Obama on July 23rd, 8am. For the 2015 Beating The Odds Summit.","neutral
"
I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for! @amyschumer,"neutral
"
2 Thomas Edison HS graduates will join 1st Lady Michelle Obama's Beating the Odds Summit bringing together 2015 college bound graduates,"positive
"
The only time Michelle Obama would lower the flags on her property is if they were blocking the sun while she was sunbathing. #Chattanooga,"neutral
"
"@Literarygrrrl Michelle Obama may be the first lady, but these shoes will make you a lady in the streets (and a freak in the bed).","positive
"
Going to First Lady Michelle Obama's Beating the Odds Summit tomorrow! #excited by cameyyboo #WhiteHouse #USA http://t.co/1Wu5R5oXD0,"positive
"
2 MN college bound teens will be at the White House today with 1st Lady Michelle Obama. How they scored this life changing invite at 6 @kstp,"neutral
"
#US 1st Lady Michelle Obama speaking at the 2015 Beating the Odds Summit to over 130 college-bound students at the pentagon office. &gt;&gt;,"positive
"
Yesterday was National Hot Dog Day . . . Or as Michelle Obama called it: Thursday.,"neutral
"
"Also the first to graduate college, I agree. Michelle Obama: Making school cool is key to success. http://t.co/loJjjDwEXB via @washtimes","positive
"
@CollinceBey I admire Michelle Obama more. Cant imagine how she survived being in a remote African village for 1st time! She deserved WH!,"positive
"
Is Michelle Obama and the sytycd crew dancing at the White House today cuz I may have to join,"positive
"
"""The 1st Lady"" Michelle Obama was in the house! What an inspirational moment! #ZenoFamily https://t.co/SLJ4kVpcHO","positive
"
"First Lady Michelle Obama kicked off the Special Olympics World Games in Los Angeles on Saturday, welcom... http://t.co/EGPFc8l5vy #news","positive
"
"In May I sent a Children at Nature Play sign to First Lady Michelle Obama. Today, I received a thank you note... http://t.co/RzKpcRd6CA","positive
"
"Michelle Obama complains about not being paid, Watch Laura Bush set her straight - http://t.co/Fe0z2RxYC5, Mooch!","neutral
"
"Michelle Obama to 1st gen college students on education: ""This should be the cool thing to do in life."" http://t.co/IAvm1PHADn","positive
"
Have you seen the first lady? Michelle Obama may still be in the Coachella Valley @TDSColinAtagi http://t.co/fk04VotSVB via @mydesert,"neutral
"
"Michelle Obama has a dance off with Ellen DeGeneres to celebrate the 5th anniversary of the First Lady's ""Let's... http://t.co/offpskaHAY","positive
"
I'm more concerned about Barack getting his 3rd term wish through Michelle Obama than I am uncle Joe. Just saying. https://t.co/8Gu7lu7qZq,"neutral
"
@Anomaly100 @marpeesh @HMiglino @TeaPainUSA No wonder you think Michelle Obama may be attractive?!?,"positive
"
"""Caller:President Obama said-'If there was no restriction on me having a 3rd term I would win it.' Was that a precursor for Michelle Obama?""","positive
"
S/O to the people going back to school tomorrow and have to eat Michelle Obama's nutritious school lunches. #mmm,"neutral
"
Today: a 4th grader was saying how she wrote to Michelle Obama &amp; my 5 year old responded that he wrote to the bears of Yosemite. #andhedid,"neutral
"
Talk about running the world.&amp;#160; Michelle Obama sat down with rapper Wale on Friday to answer questions and promote her Reach Higher,"neutral
"
"@thehill 50 Most Beautiful. Michelle Obama #9? Seriously? She could make several top 50 lists but c'mon, really? Her mother even disagrees.","negative
"
Study: Michelle Obama's anti-obesity campaign may actually make people gain weight http://t.co/UP2G3On4j6,"negative
"
so I just found out today that I might get to see Michelle Obama on Friday,"positive
"
i am going to try to meet Michelle Obama on friday,"positive
"
"Boy, did Michelle Obama look miserable dehelicoptering in Martha's Vineyard. What's the 1st missus got to gripe about? Not feelin' the love?","neutral
"
Happy 50th Birthday Michelle Obama! We're winding down our Friday with our favorite FLOTUS quotes! # http://t.co/gR9FhqKJEH,"positive
"
"*finds out we need a shot for 6th &amp; 12th grade* Kelsey: ""It was Michelle Obama wasn't it. She took away our food &amp; now she's stabbing us.""","negative
"
"@spareribbetje Walrus, die word bereden door Michelle Obama in de opkomende zon met tekst ""I wish i was that walrus, cuz the sun is pretty""","neutral
"
@father you still got the Michelle Obama shirt ? https://t.co/tYtCyltfD6,"neutral
"
"Kim Kardashian may have no talent, but she's a business woman. Michelle Obama dont got talent. She was just that wife on the come up","negative
"
Wouldn't surprise me if Michelle Obama was the brain child behind ISIS in the 1st place. @andyjonesKipper @Its_jihadist,"negative
"
"The Michelle Obama Look Book http://t.co/SaRH5Zlzge via @TheCut | The 1st Lady. All dressed up , 4ever on the go &amp; on the taxpayer's $$$","positive
"
"Laura W. Bush Michelle Obama Psalm 72:15 Long may he live, receiving gold from Arabia, prayed for without cease,... http://t.co/ZqPI9BiCm7","positive
"
"Michelle Obama, Barack Obama: Honor Colored Girls on February 28th (the last day of black history mon... https://t.co/XiiXsO0b1K via @Change","positive
"
Jan runs into Michelle Obama on her way to a charity event. Storm clouds begin to brew over the women as they battle for psychic control.,"positive
"
Sum1'll say he saw PMB wt Michelle Obama @ a hotel kissin n d nxt 2nd ur readn it online alrdy! No e4ts 2 find out d authenticity of d story,"positive
"
@garza_tex @foxandfriends Michelle Obama stated she was embarrassed of America. Figured she'd be 1st 2 give up citizenship. Bow 2 that.,"neutral
"
Ugh! Michelle Obama was selected the Best Dressed Woman by The Sunday Times (Time). http://t.co/0bQ4SnQfxH https://t.co/U9cmWaOoFR,"positive
"
First Lady Michelle Obama is a elegant and classy 1st Lady who presence touch the heart of us all #LoveMyPresident&amp;FirstLady @InsideEdition,"positive
"
@Adorable_Dime you may be right. You also forgot about Michelle Obama and Rihanna on the cover..all granted interviews,"neutral
"
AMERICA! my friends @TheStruts are playing the Jimmy Kimmel show tomorrow night with Michelle Obama! couldn't be more proud!,"positive
"
@LeoKikiLady89 chile did you read about Michelle Obama this lady is the 1st wife educated with a ton of degrees and said she wishes she was,"neutral
"
"""for the first time in my adult lifetime I'm really proud of my country""- MOST UN-AMERICAN STATEMENT BY DISGRACED 1ST LADY MICHELLE OBAMA","negative
"
"@Matthops82 @nightowl197395 @sallykohn Plus, it's Michelle Obama trying to pick what foods we can eat. I may have read that wrong, though.","negative
"
"During Thursday night's edition of Jimmy Kimmel Live, the ABC comedian helped first lady Michelle Obama make a... http://t.co/2r5UCGnTCS","neutral
"
